,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
321,1731,美吾華,"2,717,774",777,"47,604,429",17.20,17.70,17.15,17.55,+,0.25,17.55,1,17.60,13,17.38
322,1732,毛寶,"229,100",110,"5,380,404",23.35,23.65,23.15,23.40, ,0.0,23.40,14,23.45,4,23.40
323,1733,五鼎,"227,750",166,"5,770,550",25.50,25.55,25.25,25.40,-,0.1,25.35,4,25.40,4,24.42
324,1734,杏輝,"2,150,415","1,487","88,879,089",40.60,42.00,40.60,41.45,+,0.85,41.30,6,41.45,6,115.14
325,1735,日勝化,"11,000",4,"181,550",16.50,16.55,16.50,16.55,+,0.05,16.45,6,16.95,1,30.09
326,1736,喬山,"776,292",577,"53,070,981",68.80,69.40,67.90,68.10,-,0.7,68.10,3,68.20,1,26.29
327,1737,臺鹽,"348,744",178,"10,770,872",30.75,31.00,30.70,30.75, ,0.0,30.70,23,30.75,1,19.97
328,1760,寶齡富錦,"1,871,393","1,348","245,982,376",130.50,133.50,130.00,132.00,+,1.5,131.50,31,132.00,12,148.31
329,1762,中化生,"5,072,665","3,250","340,563,485",67.30,68.20,66.30,66.70,+,0.1,66.60,42,66.70,1,11.21
330,1773,勝一,"84,151",107,"8,651,473",102.50,104.00,102.00,102.50,-,1.0,102.50,1,103.00,21,14.58
331,1776,展宇,"6,000",4,"94,200",15.65,15.75,15.65,15.75,+,0.05,15.65,2,15.75,5,31.50
332,1783,和康生,"127,100",85,"3,058,258",24.10,24.35,23.80,23.90,-,0.1,23.90,22,23.95,36,28.80
333,1786,科妍,"468,596",352,"34,660,808",73.30,74.80,73.10,73.30, ,0.0,73.30,5,73.50,1,34.25
334,1789,神隆,"1,800,215","1,100","58,924,689",32.55,33.20,32.25,32.30,-,0.2,32.30,4,32.35,2,92.29
335,1795,美時,"1,786,000","1,224","149,007,000",83.00,84.30,82.70,82.80,+,0.4,82.80,14,82.90,4,26.45
336,1802,台玻,"22,975,028","6,143","307,256,763",12.90,13.60,12.90,13.40,+,0.5,13.35,27,13.40,22,0.00
337,1805,寶徠,"136,026",48,"1,257,885",9.13,9.44,9.12,9.20,+,0.08,9.18,2,9.20,1,0.00
338,1806,冠軍,"1,574,573",342,"9,990,452",6.26,6.45,6.24,6.36,+,0.09,6.35,20,6.36,7,0.00
339,1808,潤隆,"566,813",350,"41,111,951",72.10,73.30,72.00,73.20,+,1.1,73.10,2,73.20,1,35.53
340,1809,中釉,"17,907,331","4,577","215,562,463",11.30,12.25,11.20,12.25,+,1.1,12.25,400,--,0,0.00
341,1810,和成,"1,734,300",626,"16,349,386",9.20,9.52,9.20,9.48,+,0.29,9.47,6,9.48,12,27.09
342,1817,凱撒衛,"54,000",45,"1,658,700",30.70,30.85,30.65,30.65,-,0.1,30.65,2,30.70,1,11.74
343,1903,士紙,"366,415",254,"23,269,791",62.20,64.10,62.20,63.60,+,1.0,63.60,5,63.70,5,0.00
344,1904,正隆,"17,408,601","8,314","544,875,669",31.40,31.95,30.40,31.75,+,0.2,31.70,53,31.75,28,11.10
345,1905,華紙,"1,604,702",492,"14,888,816",9.24,9.35,9.24,9.27,+,0.02,9.26,6,9.27,31,0.00
346,1906,寶隆,"339,000",166,"5,088,950",15.25,15.25,14.85,14.90,-,0.15,14.90,3,14.95,16,27.59
347,1907,永豐餘,"4,358,350","1,191","80,458,485",18.60,18.65,18.30,18.40,-,0.05,18.35,115,18.40,175,8.68
348,1909,榮成,"15,963,765","4,440","292,084,010",18.55,18.65,18.10,18.20,-,0.35,18.15,555,18.20,75,40.44
349,2002,中鋼,"14,790,961","3,690","309,470,514",21.00,21.00,20.85,20.90,-,0.1,20.85,903,20.90,49,0.00
350,2002A,中鋼特,"16,075",15,"848,060",52.80,52.80,52.70,52.80, ,0.0,52.60,2,52.80,27,0.00
351,2006,東和鋼鐵,"12,605,963","5,357","384,354,669",30.65,31.30,30.00,30.20,-,0.4,30.20,35,30.25,18,14.88
352,2007,燁興,"1,548,258",631,"10,519,927",6.53,7.04,6.50,7.04,+,0.64,7.04,556,--,0,0.00
353,2008,高興昌,"34,268",28,"462,695",13.65,13.80,13.20,13.20,-,0.45,13.15,9,13.25,2,0.00
354,2009,第一銅,"1,943,670",783,"19,083,650",9.82,9.98,9.72,9.80,-,0.18,9.79,8,9.81,23,0.00
355,2010,春源,"1,316,127",479,"14,884,326",11.25,11.45,11.20,11.25, ,0.0,11.25,23,11.30,57,25.00
356,2012,春雨,"59,237",46,"1,003,950",17.05,17.10,16.80,16.95,-,0.2,16.95,2,17.00,1,14.87
357,2013,中鋼構,"2,283,947","1,261","72,133,537",31.30,32.20,31.20,31.25,-,0.05,31.25,8,31.30,8,14.20
358,2014,中鴻,"21,472,141","4,452","213,924,524",10.20,10.30,9.80,9.86,-,0.34,9.86,132,9.87,2,0.00
359,2015,豐興,"273,038",172,"15,698,223",57.50,57.80,56.90,57.50,+,0.2,57.30,15,57.50,15,16.81
360,2017,官田鋼,"1,731,769",566,"15,848,021",9.14,9.30,9.06,9.06,+,0.01,9.06,35,9.07,3,0.00
361,2020,美亞,"1,339,032",571,"22,238,337",16.30,17.00,16.25,17.00,+,0.7,16.95,30,17.00,103,13.28
362,2022,聚亨,"1,053,735",358,"6,048,186",5.73,5.84,5.63,5.83,+,0.09,5.83,4,5.84,24,0.00
363,2023,燁輝,"5,058,843","1,323","53,426,034",10.45,10.75,10.40,10.50,+,0.1,10.50,4,10.55,86,0.00
364,2024,志聯,"14,553",19,"221,348",15.40,15.40,15.00,15.20,-,0.1,15.00,6,15.25,6,0.00
365,2025,千興,"2,486,026",467,"7,891,568",2.98,3.25,2.98,3.00,-,0.2,2.99,1,3.00,203,0.00
366,2027,大成鋼,"6,242,652","2,564","130,310,724",20.60,21.20,20.60,20.75,+,0.15,20.75,41,20.80,123,0.00
367,2028,威致,"65,506",36,"660,710",10.20,10.20,10.05,10.05,-,0.05,10.05,17,10.15,15,19.33
368,2029,盛餘,"79,593",49,"1,508,121",19.00,19.10,18.90,19.05,-,0.05,19.00,6,19.05,2,0.00
369,2030,彰源,"150,701",98,"1,605,578",10.55,10.75,10.55,10.65,+,0.05,10.60,10,10.65,62,28.03
370,2031,新光鋼,"8,997,284","4,184","304,954,635",33.00,34.80,32.80,34.45,+,1.15,34.20,1,34.45,37,53.00
371,2032,新鋼,"9,244,970","2,793","104,981,766",11.30,11.65,10.90,11.00,-,0.05,11.00,7,11.05,12,25.58
372,2033,佳大,"131,815",74,"1,355,625",10.20,10.45,10.20,10.20,-,0.15,10.20,57,10.30,5,20.40
373,2034,允強,"149,267",98,"3,537,723",23.80,23.90,23.60,23.65, ,0.0,23.60,29,23.65,21,21.31
374,2038,海光,"1,983,350",631,"20,953,940",10.55,10.70,10.45,10.45,-,0.05,10.45,128,10.50,22,0.00
375,2049,上銀,"3,052,924","2,240","944,549,016",314.00,314.50,307.50,308.00,-,6.5,308.00,53,308.50,3,110.39
376,2059,川湖,"274,276",217,"82,301,352",303.00,303.00,298.00,298.00,-,2.5,298.00,9,299.50,2,20.50
377,2062,橋椿,"105,024",87,"2,757,176",26.30,26.55,26.10,26.25,+,0.1,26.20,2,26.25,13,0.00
378,2069,運錩,"24,111",19,"362,176",15.10,15.10,14.80,15.05,-,0.05,15.00,3,15.05,17,0.00
379,2101,南港,"1,971,863","1,310","94,092,607",48.50,48.55,47.35,47.35,-,1.0,47.35,66,47.50,6,38.50
380,2102,泰豐,"803,460",353,"17,714,068",22.05,22.25,21.90,21.90,-,0.15,21.90,44,22.00,5,0.00
381,2103,台橡,"2,442,988",836,"45,363,024",18.25,18.80,18.25,18.60,+,0.35,18.60,2,18.65,46,232.50
382,2104,國際中橡,"2,718,377","1,381","55,916,208",20.30,20.85,20.30,20.35,+,0.1,20.35,35,20.40,34,0.00
383,2105,正新,"2,715,725","1,435","102,875,641",38.15,38.25,37.60,37.90,-,0.35,37.90,7,37.95,35,122.26
384,2106,建大,"428,144",269,"12,664,510",29.65,29.75,29.50,29.55,-,0.1,29.55,11,29.60,1,50.95
385,2107,厚生,"1,182,559",470,"24,788,869",20.90,21.10,20.80,20.95,+,0.15,20.95,19,21.00,78,9.39
386,2108,南帝,"2,896,157","1,780","140,849,111",48.25,49.20,48.20,48.30,+,0.1,48.30,9,48.35,2,17.50
387,2109,華豐,"521,526",105,"6,395,693",12.40,12.40,12.20,12.25,-,0.15,12.25,2,12.30,2,49.00
388,2114,鑫永銓,"24,815",33,"2,001,028",81.00,81.00,80.50,80.90,+,0.1,80.50,12,80.80,1,14.87
389,2115,六暉-KY,"75,190",66,"3,087,890",41.10,41.45,40.95,41.20,-,0.25,41.00,1,41.20,1,6.55
390,2201,裕隆,"3,316,498","1,353","79,063,695",23.50,24.10,23.50,23.75,+,0.25,23.70,258,23.75,77,0.00
391,2204,中華,"736,009",471,"31,172,827",42.10,42.65,42.05,42.60,+,0.5,42.55,22,42.65,19,0.00
392,2206,三陽工業,"1,248,921",520,"29,589,398",23.60,23.95,23.45,23.90,+,0.4,23.85,4,23.90,24,18.53
393,2207,和泰車,"333,816",305,"213,601,320",637.00,647.00,635.00,641.00,+,5.0,640.00,2,641.00,1,27.07
394,2208,台船,"858,222",568,"21,389,149",24.85,25.20,24.75,24.85,+,0.05,24.80,16,24.90,37,0.00
395,2227,裕日車,"148,565",143,"37,467,010",251.00,255.00,251.00,252.00,+,3.5,251.50,2,252.00,21,12.91
396,2228,劍麟,"84,150",67,"6,617,655",78.90,79.10,78.20,78.70,-,0.1,78.70,5,78.80,1,16.74
397,2231,為升,"969,920",889,"167,751,669",173.00,175.00,171.00,173.50,+,1.5,173.00,11,173.50,9,46.77
398,2233,宇隆,"348,785",249,"26,032,979",73.80,75.20,73.80,74.70,+,0.9,74.70,4,74.80,4,16.20
399,2236,百達-KY,"3,290",4,"57,725",17.45,17.70,17.45,17.70,+,0.1,17.60,6,17.65,6,24.25
400,2239,英利-KY,"230,000",195,"17,926,100",76.20,79.40,76.20,78.30,+,2.1,78.30,4,78.40,1,26.91
401,2241,艾姆勒,"190,500",155,"10,293,500",54.60,54.60,53.80,54.00,-,0.6,54.00,17,54.10,3,85.71
402,2243,宏旭-KY,"650,290",383,"8,548,003",13.00,13.65,12.70,12.70,+,0.15,12.70,2,12.75,1,0.00
403,2301,光寶科,"5,977,306","3,847","283,427,730",47.50,47.95,47.10,47.10,-,0.4,47.10,59,47.20,11,10.40
404,2302,麗正,"1,473,787",650,"20,277,235",13.70,14.00,13.40,13.75,+,0.05,13.70,18,13.75,19,0.00
405,2303,聯電,"137,350,124","33,872","3,522,203,851",25.30,26.00,25.15,25.75,+,0.05,25.75,691,25.80,623,19.96
406,2305,全友,"2,392,840",886,"18,592,519",7.68,7.89,7.57,7.85,+,0.4,7.85,24,7.86,27,196.25
407,2308,台達電,"2,599,798","1,911","495,750,418",190.00,192.50,190.00,191.00, ,0.0,190.50,115,191.00,94,24.97
408,2312,金寶,"6,931,405","1,485","76,127,975",10.85,11.10,10.85,11.00,+,0.1,11.00,"1,216",11.05,327,50.00
409,2313,華通,"10,536,797","5,132","497,172,267",47.05,47.75,46.85,47.00,-,0.05,47.00,17,47.05,56,11.58
