開標日期,證券名稱,證券代號,發行市場,發行性質,競拍方式,競拍數量(張),最低投標價格(元),最低每標單投標數量(張),最高投(得)標數量(張),保證金成數(%),每一投標單投標處理費(元),撥券日期(上市、上櫃日期),主辦券商,得標總金額(元),得標手續費率(%),總合格件,合格投標數量(張),最低得標價格(元),最高得標價格(元),得標加權平均價格(元),承銷價格(元)
2019/01/04,易發,6425.0,櫃檯買賣,初上櫃,美國標,"3,414",26.32,1.0,446,50.0,400.0,2019/01/18,福邦,"125,661,580",4.0,"1,605","31,700",36.05,65.0,36.81,30.0
2019/01/03,錸寶科技,8104.0,集中交易市場,初上市,美國標,"5,415",50.0,1.0,744,50.0,400.0,2019/01/17,福邦,"391,679,020",4.5,"2,865","32,232",71.0,84.0,72.33,60.0
2018/12/28,大詠城,4538.0,櫃檯買賣,初上櫃,美國標,"3,808",12.73,1.0,486,50.0,400.0,2019/1/15,日盛,"73,667,880",4.5,"1,310","29,459",18.42,62.8,19.35,14.0
2018/12/27,十銓,4967.0,集中交易市場,初上市,美國標,"5,508",19.3,2.0,698,50.0,400.0,2019/1/14,群益,"150,019,210",4.5,"2,012","46,940",26.3,30.05,27.24,22.0
2018/12/11,普鴻,6590.0,櫃檯買賣,初上櫃,美國標,"1,360",16.5,1.0,180,50.0,400.0,2018/12/24,日盛,"30,568,080",4.5,526,"9,191",21.2,31.2,22.48,19.14
2018/12/11,富林-KY,1341.0,集中交易市場,第一上市初上市,美國標,"3,959",24.83,1.0,520,50.0,400.0,2018/12/24,中國信託,"145,462,780",4.5,768,"20,694",35.3,39.1,36.74,28.8
2018/12/4,復盛應用,6670.0,集中交易市場,初上市,美國標,"8,568",100.0,1.0,"1,231",50.0,400.0,2018/12/18,富邦,"1,157,843,580",4.0,"1,850","24,319",131.0,150.0,135.14,120.0
2018/12/3,精湛,2070.0,櫃檯買賣,初上櫃,美國標,"3,060",27.83,1.0,392,50.0,400.0,2018/12/17,永豐金,"97,508,520",4.5,425,"8,550",30.62,35.11,31.87,31.87
2018/11/28,中揚光,6668.0,集中交易市場,初上市,美國標,"5,440",50.0,2.0,752,50.0,400.0,2018/12/12,元大,"315,757,890",5.0,527,"8,896",55.0,70.1,58.04,58.0
2018/11/27,三能-KY,6671.0,集中交易市場,初上市,美國標,"4,859",32.31,2.0,698,50.0,400.0,2018/12/11,兆豐,"201,573,900",4.5,448,"12,939",39.5,45.8,41.48,41.48
2018/11/21,興能高,6558.0,集中交易市場,初上市,美國標,"6,936",16.36,1.0,926,50.0,400.0,2018/12/5,富邦,"162,273,050",4.5,"1,012","36,803",22.22,30.0,23.4,18.0
2018/11/14,南寶,4766.0,集中交易市場,初上市,美國標,"8,127",66.78,1.0,"1,168",50.0,400.0,2018/11/28,富邦,"646,556,750",4.5,879,"19,223",76.0,90.0,79.56,76.8
2018/11/14,鋐寶科技,6674.0,集中交易市場,初上市,美國標,"4,160",28.32,2.0,569,50.0,400.0,2018/11/28,凱基,"128,280,170",4.5,370,"6,268",29.22,68.0,30.84,30.84
2018/11/14,科定,6655.0,集中交易市場,初上市,美國標,"4,129",52.0,1.0,526,50.0,400.0,2018/11/28,中國信託,"252,640,730",4.5,687,"5,773",55.0,75.8,61.19,60.32
2018/11/5,公準,3178.0,櫃檯買賣,初上櫃,美國標,"3,604",25.5,1.0,460,50.0,400.0,2018/11/19,第一金,"106,774,970",4.5,278,"5,586",26.78,34.0,29.63,29.63
2018/11/5,羅麗芬-KY,6666.0,集中交易市場,第一上市初上市,美國標,"3,455",110.0,1.0,442,50.0,400.0,2018/11/19,永豐金,0,4.5,225,"2,165",0.0,0.0,0.0,0.0
2018/10/30,信紘,6667.0,櫃檯買賣,初上櫃,美國標,"2,143",33.9,1.0,277,50.0,400.0,2018/11/13,第一金,"79,344,310",4.2,352,"4,473",35.0,46.0,37.02,37.02
2018/10/15,誠泰科技,4767.0,櫃檯買賣,初上櫃,美國標,"1,864",16.22,2.0,242,50.0,400.0,2018/10/29,凱基,"34,454,820",4.5,162,"4,121",17.35,21.0,18.48,18.0
2018/10/8,天正國際,6654.0,櫃檯買賣,初上櫃,美國標,"2,536",65.22,1.0,326,50.0,400.0,2018/10/23,台新,"186,592,210",4.5,417,"4,710",70.25,99.0,73.58,73.58
2018/10/8,均華,6640.0,櫃檯買賣,初上櫃,美國標,"1,741",31.25,2.0,217,50.0,400.0,2018/10/23,凱基,"68,858,310",4.5,515,"8,843",38.6,56.0,39.55,37.5
2018/10/4,上海商銀,5876.0,集中交易市場,初上市,美國標,"16,000",25.02,2.0,"2,000",50.0,400.0,2018/10/19,華南,"548,976,840",4.5,"2,970","113,100",33.12,39.0,34.31,32.28
2018/10/2,天鈺,4961.0,集中交易市場,初上市,美國標,"12,852",29.2,1.0,"1,606",50.0,400.0,2018/10/17,福邦,"484,658,590",4.5,944,"20,879",34.1,41.22,37.71,33.0
2018/9/18,科際精密,4568.0,櫃檯買賣,初上櫃,美國標,"1,877",65.22,2.0,244,50.0,400.0,2018/10/3,永豐金,"166,723,400",4.5,654,"10,356",86.2,95.5,88.82,75.0
2018/9/7,基士德-KY,6641.0,集中交易市場,第一上市初上市,美國標,"2,719",62.5,1.0,365,50.0,400.0,2018/9/21,永豐金,"219,225,960",4.5,933,"14,627",78.1,96.96,80.63,75.0
2018/9/4,達邦蛋白,6578.0,櫃檯買賣,初上櫃,美國標,"2,380",18.18,2.0,317,50.0,400.0,2018/9/18,永豐金,"57,275,790",4.5,785,"17,424",23.52,27.02,24.07,20.0
2018/8/30,群翊,6664.0,櫃檯買賣,初上櫃,美國標,"3,400",46.22,1.0,455,50.0,400.0,2018/9/12,福邦,"218,048,010",4.5,"1,036","13,434",63.1,69.0,64.13,55.0
2018/8/30,建新國際,8367.0,集中交易市場,初上市,美國標,"5,531",17.31,2.0,794,50.0,400.0,2018/9/12,凱基,"117,448,990",4.5,668,"19,402",20.62,24.0,21.23,20.08
2018/8/1,全球,4540.0,集中交易市場,初上市,美國標,"7,752",79.0,1.0,"1,069",50.0,400.0,2018/8/15,第一金,"901,072,370",4.5,"2,753","29,975",113.9,133.69,116.24,94.8
2018/8/1,商億-KY,8482.0,集中交易市場,第一上市初上市,美國標,"7,999",100.0,1.0,"1,150",50.0,400.0,2018/8/15,凱基,"930,334,270",4.5,968,"12,004",104.9,170.62,116.31,115.0
2018/7/25,茂生農經,1240.0,櫃檯買賣,初上櫃,美國標,"2,001",39.0,2.0,265,50.0,400.0,2018/8/8,兆豐,"107,474,890",4.5,"1,318","19,418",52.6,110.0,53.71,47.19
2018/7/4,奈米醫材,6612.0,櫃檯買賣,初上櫃,美國標,"2,056",38.07,2.0,267,50.0,400.0,2018/7/18,兆豐,"117,193,380",4.5,"1,318","17,792",56.1,60.12,57.0,46.45
2018/7/2,晶相光,3530.0,集中交易市場,初上市,美國標,"6,315",88.6,1.0,799,50.0,400.0,2018/7/16,永豐金,"857,435,210",4.5,"1,520","13,148",128.8,155.0,135.78,101.0
2018/6/28,皇將,4744.0,櫃檯買賣,初上櫃,美國標,"3,672",23.53,2.0,459,50.0,400.0,2018/7/12,福邦,"133,450,230",4.5,"1,087","20,629",35.11,74.0,36.34,28.0
2018/6/28,百德,4563.0,櫃檯買賣,初上櫃,美國標,"3,196",51.22,1.0,409,50.0,400.0,2018/7/12,日盛,"243,836,510",5.0,"1,309","13,878",75.0,82.2,76.29,58.9
2018/6/26,昇陽半,8028.0,集中交易市場,初上市,美國標,"10,595",20.5,2.0,"1,324",50.0,400.0,2018/7/10,福邦,"355,607,930",4.5,"1,947","49,119",32.58,37.5,33.56,24.6
2018/6/15,安力-KY,5223.0,櫃檯買賣,第一上櫃初上櫃,美國標,"3,459",25.0,1.0,497,50.0,400.0,2018/7/2,國泰,"138,897,200",4.0,"1,418","32,376",35.72,55.0,40.16,27.0
2018/6/14,逸達,6576.0,櫃檯買賣,初上櫃,美國標,"5,879",40.0,2.0,845,50.0,400.0,2018/6/29,凱基,"322,957,130",4.5,"1,343","20,149",53.22,61.26,54.93,45.2
2018/6/13,榮科,4989.0,集中交易市場,初上市,美國標,"9,421",21.38,5.0,"1,347",50.0,400.0,2018/6/28,元大,"268,107,500",5.0,"1,525","42,400",27.8,31.9,28.46,24.8
2018/5/28,健椿,4561.0,櫃檯買賣,初上櫃,美國標,"3,161",23.04,2.0,405,50.0,400.0,2018/6/11,第一金,"109,034,670",4.0,"1,662","33,140",33.61,134.6,34.49,26.5
2018/5/22,是方,6561.0,櫃檯買賣,初上櫃,美國標,"5,333",136.0,2.0,748,50.0,400.0,2018/6/5,元大,"1,053,276,760",5.0,"2,670","21,212",191.4,213.7,197.5,170.0
2018/5/15,大綜電腦系統,3147.0,櫃檯買賣,初上櫃,美國標,"2,721",15.97,3.0,391,50.0,400.0,2018/5/29,華南,"58,269,490",4.0,846,"20,027",21.0,22.8,21.41,19.0
2018/4/24,聯嘉,6288.0,集中交易市場,初上市,美國標,"13,691",17.14,2.0,"1,721",50.0,400.0,2018/5/9,台新,"296,478,940",5.0,"1,634","44,935",21.08,26.0,21.66,18.0
2018/4/12,萬達光電,5220.0,櫃檯買賣,初上櫃,美國標,"3,174",22.0,2.0,456,50.0,400.0,2018/4/26,兆豐,"93,296,840",4.5,"1,472","29,596",28.7,37.15,29.39,25.3
2018/3/30,吉茂精密,1587.0,集中交易市場,初上市,美國標,"5,540",15.5,2.0,722,50.0,400.0,2018/4/16,宏遠,"113,320,760",4.2,866,"22,613",20.0,22.25,20.46,18.91
2018/3/30,瑞祺電通,6416.0,集中交易市場,初上市,美國標,"5,444",87.83,1.0,680,50.0,400.0,2018/4/16,國泰,"726,718,590",4.5,"2,914","27,556",129.83,145.08,133.49,101.0
2018/3/30,五福,2745.0,櫃檯買賣,初上櫃,美國標,"2,348",22.03,2.0,303,50.0,400.0,2018/4/16,台新,"73,871,940",4.5,887,"13,546",30.79,35.0,31.46,26.0
2018/3/30,高端疫苗,6547.0,櫃檯買賣,初上櫃,美國標,"12,432",25.0,2.0,"1,654",50.0,400.0,2018/4/17,永豐金,"380,245,280",4.5,"1,289","34,870",29.6,43.0,30.59,28.0
2018/3/20,致和證,5864.0,櫃檯買賣,初上櫃,美國標,"8,000",6.97,2.0,"1,150",50.0,400.0,2018/4/2,統一,"74,104,520",3.0,903,"47,476",9.25,9.8,9.26,9.06
2018/3/14,綠電再生,8440.0,櫃檯買賣,初上櫃,美國標,"3,696",13.52,1.0,482,50.0,400.0,2018/3/28,凱基,"84,106,340",4.5,"1,879","46,522",22.2,26.0,22.76,15.68
2018/3/14,益得,6461.0,櫃檯買賣,初上櫃,美國標,"6,800",30.0,2.0,950,50.0,400.0,2018/3/28,元富,"240,979,070",4.5,"1,040","21,987",34.0,46.0,35.44,34.8
2018/3/9,聯廣,8497.0,集中交易市場,初上市,美國標,"4,680",40.0,1.0,672,50.0,400.0,2018/3/23,國泰,"229,545,830",4.0,"1,383","23,949",47.6,53.1,49.05,46.0
2018/2/2,亞航,2630.0,集中交易市場,初上市,美國標,"9,778",20.0,2.0,"1,232",50.0,400.0,2018/2/22,台新,"307,361,210",4.5,"2,139","57,470",30.41,36.1,31.43,22.0
2018/1/24,必應,6625.0,集中交易市場,初上市,美國標,"2,081",56.52,2.0,270,50.0,400.0,2018/2/7,台新,"151,601,320",4.5,743,"5,396",69.0,87.0,72.85,65.0
2018/1/22,時碩工業,4566.0,集中交易市場,初上市,美國標,"4,080",55.56,1.0,586,50.0,400.0,2018/2/5,凱基,"276,469,190",4.5,"1,315","16,618",66.01,77.8,67.76,60.0
2018/1/16,鋼聯,6581.0,集中交易市場,初上市,美國標,"7,703",74.14,2.0,962,50.0,400.0,2018/1/30,康和,"797,779,920",4.2,"1,911","17,776",99.6,119.6,103.57,86.0
2018/1/9,寶齡富錦,1760.0,集中交易市場,初上市,美國標,"6,192",45.22,1.0,834,50.0,400.0,2018/1/23,凱基,"350,289,470",4.5,918,"9,610",50.01,68.0,56.57,52.0
2018/1/9,杰力,5299.0,櫃檯買賣,初上櫃,美國標,"2,826",42.74,2.0,388,50.0,400.0,2018/1/23,永豐金,"187,172,980",4.5,"1,402","14,523",64.67,71.3,66.23,50.01
2018/1/8,金穎生技,1796.0,櫃檯買賣,初上櫃,美國標,"1,690",29.0,1.0,221,50.0,400.0,2018/1/22,富邦,"77,314,170",4.5,873,"10,531",43.5,62.0,45.75,34.8
2018/1/8,聯廣,8497.0,集中交易市場,初上市,美國標,"4,680",47.3,1.0,672,50.0,400.0,2018/1/22,國泰,0,4.0,500,"4,308",0.0,0.0,0.0,0.0
2018/1/8,慧智,6615.0,櫃檯買賣,初上櫃,美國標,"1,689",60.0,2.0,221,50.0,400.0,2018/1/22,元富,"144,212,880",4.5,866,"6,926",82.2,100.0,85.38,72.0
2017/12/27,凱羿-KY,2939.0,集中交易市場,第一上市初上市,美國標,"2,898",130,2.0,402,50.0,400.0,2018/1/11,永豐金,"543,483,800",4.25,"1,195","9,571",181.7,200,187.54,156.0
