,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0,0050,元大台灣50,"5,753,474","3,686","599,428,685",103.50,104.55,103.25,104.55,+,1.3,104.50,7,104.55,339,0.00
1,0051,元大中型100,"32,394",26,"1,293,094",39.80,40.00,39.80,40.00,+,0.5,39.92,28,40.00,15,0.00
2,0052,富邦科技,"629,433",210,"56,868,080",89.50,90.50,89.50,90.40,+,0.95,90.35,1,90.40,2,0.00
3,0053,元大電子,"29,517",23,"1,468,667",49.42,49.90,49.41,49.90,+,0.57,49.81,24,49.95,1,0.00
4,0054,元大台商50,"18,000",6,"454,340",25.17,25.26,25.17,25.26,+,0.15,25.30,27,25.35,1,0.00
5,0055,元大MSCI金融,"42,050",19,"751,190",17.93,17.93,17.82,17.87,+,0.01,17.87,10,17.90,6,0.00
6,0056,元大高股息,"11,904,487","4,337","355,755,677",29.75,30.00,29.75,29.98,+,0.23,29.98,267,29.99,28,0.00
7,0057,富邦摩台,"23,000",5,"1,580,200",68.40,68.75,68.35,68.75,+,0.95,68.55,30,68.75,1,0.00
8,0061,元大寶滬深,"318,911",116,"6,745,086",20.97,21.20,20.97,21.12,+,0.15,21.10,1,21.12,29,0.00
9,006203,元大MSCI台灣,"8,000",4,"389,650",48.57,48.77,48.50,48.77,+,0.42,48.77,69,49.02,64,0.00
10,006204,永豐臺灣加權,"202,000",4,"13,003,250",64.10,64.40,64.10,64.40,+,0.7,64.35,50,64.50,100,0.00
11,006205,富邦上証,"5,218,651","1,103","181,013,178",34.56,34.78,34.49,34.74,+,0.36,34.73,100,34.74,21,0.00
12,006206,元大上證50,"168,757",52,"5,986,506",35.26,35.56,35.26,35.41,+,0.26,35.41,12,35.46,58,0.00
13,006207,FH滬深,"199,172",40,"5,511,112",27.37,27.75,27.37,27.58,+,0.21,27.53,58,27.58,28,0.00
14,006208,富邦台50,"1,097,919",485,"65,292,618",59.05,59.60,59.05,59.55,+,0.55,59.55,5,59.60,17,0.00
15,00625K,富邦上証+R,"51,000",3,"418,220",8.22,8.22,8.20,8.20,+,0.16,8.16,5,8.22,4,0.00
16,00631L,元大台灣50正2,"7,863,300","1,453","513,863,300",64.80,66.60,64.55,66.60,+,2.2,66.60,17,66.65,3,0.00
17,00632R,元大台灣50反1,"119,708,785","8,903","996,599,630",8.35,8.38,8.30,8.30,-,0.09,8.30,"16,243",8.31,7,0.00
18,00633L,富邦上証正2,"7,870,000","1,441","440,922,450",55.55,56.40,55.55,55.95,+,0.65,55.95,"1,390",56.00,19,0.00
19,00634R,富邦上証反1,"1,177,000",86,"5,496,560",4.69,4.69,4.66,4.69,-,0.02,4.67,469,4.69,761,0.00
20,00635U,元大S&P黃金,"795,999",214,"21,369,902",26.77,26.92,26.77,26.83,+,0.08,26.83,1,26.85,5,0.00
21,00636,國泰中國A50,"3,972,597",246,"95,243,721",23.82,24.05,23.82,23.94,+,0.13,23.93,204,23.94,4,0.00
22,00636K,國泰中國A50+U,100,1,818,8.18,8.18,8.18,8.18,+,0.09,8.14,10,8.22,10,0.00
23,00637L,元大滬深300正2,"46,112,100","5,634","1,005,215,390",21.65,21.92,21.63,21.76,+,0.26,21.76,"3,133",21.77,37,0.00
24,00638R,元大滬深300反1,"1,037,000",119,"9,814,700",9.51,9.51,9.43,9.47,-,0.07,9.46,103,9.47,17,0.00
25,00639,富邦深100,"1,305,026",167,"18,477,105",14.04,14.23,14.04,14.12,+,0.16,14.12,101,14.13,110,0.00
26,00640L,富邦日本正2,"692,039",180,"14,053,148",20.27,20.34,20.25,20.27,+,0.31,20.27,14,20.30,100,0.00
27,00641R,富邦日本反1,"254,000",66,"3,338,940",13.17,13.17,13.13,13.15,-,0.13,13.15,31,13.16,1,0.00
28,00642U,元大S&P石油,"8,805,399","2,297","67,860,056",7.75,7.75,7.68,7.71,-,0.06,7.71,193,7.72,334,0.00
29,00643,群益深証中小,"541,000",209,"9,066,090",16.61,16.86,16.61,16.69,+,0.17,16.68,1,16.69,33,0.00
30,00643K,群益深証中小+R,0,0,0,--,--,--,--, ,0.0,3.88,2,3.97,2,0.00
31,00645,富邦日本,"123,063",20,"2,610,896",21.20,21.23,21.15,21.20,+,0.15,21.19,1,21.20,2,0.00
32,00646,元大S&P500,"580,706",198,"17,538,073",30.17,30.28,30.15,30.24,+,0.07,30.23,13,30.24,48,0.00
33,00647L,元大S&P500正2,"164,000",78,"6,792,830",41.25,41.54,41.22,41.49,+,0.15,41.46,2,41.49,152,0.00
34,00648R,元大S&P500反1,"1,143,000",84,"10,884,750",9.53,9.54,9.49,9.51,-,0.03,9.50,350,9.51,24,0.00
35,00650L,FH香港正2,"803,000",166,"18,366,890",22.41,23.08,22.41,22.87,+,0.33,22.87,19,22.89,12,0.00
36,00651R,FH香港反1,"230,000",35,"1,934,930",8.43,8.50,8.39,8.42,-,0.05,8.40,258,8.42,12,0.00
37,00652,富邦印度,"302,971",97,"6,371,308",20.93,21.10,20.92,21.10,+,0.17,21.09,63,21.10,11,0.00
38,00653L,富邦印度正2,"6,048,750",838,"139,788,395",22.96,23.29,22.87,23.26,+,0.3,23.26,205,23.27,13,0.00
39,00654R,富邦印度反1,"119,000",35,"1,500,920",12.67,12.70,12.59,12.59,-,0.08,12.59,1,12.64,24,0.00
40,00655L,國泰中國A50正2,"3,313,000",881,"136,106,620",40.71,41.32,40.71,41.11,+,0.59,41.10,2,41.11,52,0.00
41,00656R,國泰中國A50反1,"414,000",28,"3,564,400",8.61,8.62,8.59,8.61,-,0.05,8.60,151,8.61,48,0.00
42,00657,國泰日經225,"101,443",4,"2,961,105",29.17,29.19,29.17,29.19,+,0.24,29.09,30,29.18,10,0.00
43,00657K,國泰日經225+U,100,1,995,9.95,9.95,9.95,9.95,+,0.12,9.91,10,10.02,10,0.00
44,00660,元大歐洲50,"46,000",7,"1,097,520",23.90,23.90,23.85,23.90,+,0.13,23.89,80,23.93,1,0.00
45,00661,元大日經225,"5,178",4,"153,289",29.59,29.63,29.59,29.63,+,0.2,29.61,15,29.91,15,0.00
46,00662,富邦NASDAQ,"422,150",151,"17,883,375",42.30,42.46,42.27,42.45,-,0.11,42.43,1,42.45,61,0.00
47,00663L,國泰臺灣加權正2,"893,000",30,"51,520,550",57.70,58.50,57.50,58.40,+,1.3,58.35,132,58.50,94,0.00
48,00664R,國泰臺灣加權反1,"4,464,000",551,"42,202,750",9.49,9.52,9.42,9.44,-,0.1,9.44,26,9.45,728,0.00
49,00665L,富邦恒生國企正2,"231,000",62,"4,853,020",20.70,21.19,20.70,21.01,+,0.27,21.01,50,21.05,128,0.00
50,00666R,富邦恒生國企反1,"83,000",5,"1,086,520",13.11,13.12,13.09,13.12,-,0.09,13.06,234,13.11,149,0.00
51,00668,國泰美國道瓊,"478,102",75,"14,022,106",29.31,29.47,29.16,29.40,+,0.09,29.40,3,29.42,1,0.00
52,00668K,國泰美國道瓊+U,100,1,"1,002",10.02,10.02,10.02,10.02,+,0.04,9.98,14,10.12,14,0.00
53,00669R,國泰美國道瓊反1,"3,563,000",215,"37,068,590",10.42,10.42,10.37,10.38,-,0.06,10.38,475,10.39,12,0.00
54,00670L,富邦NASDAQ正2,"1,921,060",715,"122,275,732",63.20,64.05,63.20,63.85,-,0.45,63.80,39,63.85,12,0.00
55,00671R,富邦NASDAQ反1,"9,324,000",387,"70,772,740",7.61,7.63,7.56,7.58,+,0.02,7.57,659,7.58,157,0.00
56,00672L,元大S&P原油正2,"71,723,100","1,576","50,847,649",0.70,0.72,0.70,0.71,+,0.01,0.70,"127,456",0.71,"1,401",0.00
57,00673R,元大S&P原油反1,"527,000",68,"17,229,590",32.92,32.92,32.57,32.76,-,0.2,32.75,2,32.76,39,0.00
58,00674R,元大S&P黃金反1,"136,000",41,"1,704,240",12.58,12.58,12.51,12.54,-,0.07,12.54,304,12.56,100,0.00
59,00675L,富邦臺灣加權正2,"1,561,000",241,"39,049,620",24.94,25.33,24.85,25.30,+,0.61,25.27,1,25.30,213,0.00
60,00676R,富邦臺灣加權反1,"8,287,000",501,"42,562,270",5.15,5.16,5.11,5.12,-,0.06,5.11,"1,483",5.12,106,0.00
61,00677U,富邦VIX,"169,986,199","17,894","811,040,264",4.80,4.81,4.74,4.75,-,0.26,4.75,641,4.76,"1,412",0.00
62,00678,群益NBI生技,"391,384",35,"9,621,494",23.90,24.65,23.90,24.65,+,0.43,24.62,3,24.67,21,0.00
63,00680L,元大美債20正2,"11,000",4,"349,670",31.83,31.83,31.78,31.78,-,0.04,31.75,96,31.78,19,0.00
64,00681R,元大美債20反1,"4,000",2,"49,900",12.47,12.48,12.47,12.48,+,0.02,12.45,60,12.48,18,0.00
65,00682U,元大美元指數,"21,000",13,"389,150",18.56,18.56,18.52,18.52,-,0.06,18.52,1,18.54,1,0.00
66,00683L,元大美元指數正2,"117,000",29,"2,072,680",17.79,17.79,17.70,17.74,-,0.01,17.70,11,17.74,12,0.00
67,00684R,元大美元指數反1,"2,000",2,"37,620",18.81,18.81,18.81,18.81, ,0.0,18.82,30,18.88,20,0.00
68,00685L,群益臺灣加權正2,"30,000",23,"664,690",22.02,22.31,22.00,22.31,+,0.5,22.30,1,22.31,46,0.00
69,00686R,群益臺灣加權反1,"176,000",24,"983,980",5.62,5.62,5.58,5.58,-,0.06,5.58,60,5.59,90,0.00
70,00688L,國泰20年美債正2,"100,000",2,"3,219,000",32.19,32.19,32.19,32.19,-,0.01,32.15,35,32.22,20,0.00
71,00689R,國泰20年美債反1,"116,000",5,"1,482,600",12.79,12.80,12.78,12.80, ,0.0,12.76,35,12.80,46,0.00
72,00690,兆豐藍籌30,"64,135",23,"1,632,349",25.29,25.50,25.29,25.50,+,0.25,25.47,65,25.53,35,0.00
73,00691R,兆豐藍籌30反1,0,0,0,--,--,--,--, ,0.0,11.50,10,11.56,110,0.00
74,00692,富邦公司治理,"2,277,393",764,"60,505,975",26.41,26.64,26.41,26.62,+,0.22,26.62,13,26.63,30,0.00
75,00693U,街口S&P黃豆,"13,347,000","2,254","209,579,550",15.69,15.79,15.63,15.72,+,0.37,15.71,625,15.72,20,0.00
76,00700,富邦恒生國企,"104,002",7,"1,916,816",18.38,18.50,18.38,18.43,+,0.1,18.41,5,18.47,20,0.00
77,00701,國泰股利精選30,"587,088",306,"12,335,997",20.98,21.05,20.98,21.01,+,0.04,21.01,19,21.02,21,0.00
78,00702,國泰標普低波高息,"9,277",8,"152,333",16.47,16.47,16.35,16.39,+,0.07,16.38,4,16.42,4,0.00
79,00703,台新MSCI中國,"94,000",17,"2,217,720",23.70,23.70,23.57,23.59,+,0.13,23.58,20,23.61,20,0.00
80,00706L,元大S&P日圓正2,"2,000",2,"35,060",17.51,17.55,17.51,17.55,+,0.02,17.54,42,17.57,19,0.00
81,00707R,元大S&P日圓反1,"1,000",1,"19,250",19.25,19.25,19.25,19.25, ,0.0,19.20,34,19.23,24,0.00
82,00708L,元大S&P黃金正2,"2,035,000",614,"67,635,090",32.99,33.37,32.99,33.20,+,0.27,33.19,9,33.20,51,0.00
83,00709,富邦歐洲,"133,001",9,"2,660,229",19.97,20.01,19.97,20.01,+,0.18,19.93,100,20.01,29,0.00
84,00710B,FH彭博高收益債,"325,750",134,"6,194,870",19.02,19.03,18.99,19.03,+,0.01,19.02,26,19.03,96,0.00
85,00711B,FH彭博新興債,"116,000",11,"2,637,100",22.70,22.74,22.70,22.73,+,0.01,22.73,2,22.76,29,0.00
86,00712,FH富時不動產,"4,849,100","1,256","54,049,390",11.23,11.23,11.08,11.18,-,0.07,11.17,23,11.18,45,0.00
87,00713,元大台灣高息低波,"43,901",29,"1,466,929",33.44,33.48,33.36,33.38,+,0.16,33.38,26,33.40,10,0.00
88,00714,群益道瓊美國地產,"42,000",16,"779,920",18.59,18.60,18.54,18.59, ,0.0,18.59,20,18.63,50,0.00
89,00715L,街口布蘭特油正2,"27,348,529","2,405","93,961,088",3.44,3.47,3.41,3.42,-,0.1,3.42,510,3.43,540,0.00
90,00717,富邦美國特別股,"647,421",100,"10,883,998",16.84,16.84,16.80,16.82,-,0.02,16.81,66,16.82,3,0.00
91,00728,第一金工業30,"277,000",33,"6,043,710",21.80,21.85,21.78,21.85,+,0.11,21.82,1,21.85,5,0.00
92,00730,富邦臺灣優質高息,"349,571",126,"6,085,508",17.32,17.45,17.32,17.44,+,0.15,17.44,3,17.45,84,0.00
93,00731,FH富時高息低波,"1,065,021",19,"50,423,234",47.04,47.38,47.04,47.38,+,0.48,47.35,7,47.38,3,0.00
94,00732,國泰RMB短期報酬,"100,000",2,"3,868,000",38.68,38.68,38.68,38.68,-,0.01,38.64,13,38.73,12,0.00
95,00733,富邦臺灣中小,"230,404",28,"5,619,546",24.06,24.45,24.06,24.43,+,0.37,24.40,10,24.45,2,0.00
96,00735,國泰臺韓科技,"111,000",13,"2,745,710",24.64,24.78,24.64,24.78,+,0.42,24.72,23,24.77,1,0.00
97,00736,國泰新興市場,"133,318",36,"2,722,059",20.10,20.45,20.10,20.45,+,0.35,20.37,23,20.45,19,0.00
98,00737,國泰AI+Robo,"108,994",43,"2,712,716",24.75,24.93,24.75,24.90,+,0.15,24.90,1,24.91,25,0.00
99,00738U,元大道瓊白銀,"1,861,250",469,"53,624,197",28.61,28.89,28.61,28.70,+,0.18,28.70,323,28.71,1,0.00
100,00739,元大MSCI A股,"179,903",39,"4,574,855",25.40,25.50,25.32,25.39,+,0.24,25.35,4,25.39,49,0.00
101,00742,新光內需收益,"646,237",23,"13,642,833",21.07,21.13,21.06,21.13,+,0.1,21.16,120,21.21,130,0.00
102,00743,國泰中國A150,"21,605",7,"553,951",25.64,25.64,25.64,25.64,+,0.33,25.44,34,25.52,94,0.00
103,00752,中信中國50,"465,000",183,"12,963,440",27.95,27.99,27.69,27.93,+,0.22,27.91,1,27.93,5,0.00
104,00753L,中信中國50正2,"389,000",80,"12,731,960",32.30,33.00,32.30,32.87,+,0.6,32.87,18,32.88,5,0.00
105,00757,統一FANG+,"716,866",222,"26,786,989",37.26,37.41,37.26,37.41,+,0.15,37.40,11,37.41,55,0.00
106,00762,元大全球AI,"167,080",74,"5,069,425",30.30,30.40,30.25,30.40,-,0.04,30.38,3,30.40,64,0.00
107,00763U,街口道瓊銅,"52,000",17,"1,055,170",20.30,20.40,20.26,20.29,+,0.37,20.29,2,20.30,1,0.00
108,00766L,台新MSCI中國正2,"109,000",29,"1,136,080",10.33,10.47,10.33,10.42,+,0.15,10.42,29,10.44,60,0.00
109,00770,國泰北美科技,"88,000",52,"2,630,020",29.77,29.94,29.77,29.93,-,0.18,29.91,43,29.93,46,0.00
110,00771,元大US高息特別股,"7,000",7,"134,390",19.20,19.22,19.19,19.19,-,0.01,19.19,13,19.22,53,0.00
111,00774B,新光中國政金綠債,"1,502,000",7,"58,422,820",38.95,38.95,38.75,38.75,-,0.2,38.61,5,38.75,2,0.00
112,00774C,新光中政金綠債+R,0,0,0,--,--,--,--, ,0.0,9.03,5,9.11,5,0.00
113,00775B,新光投等債15+,"1,202,000",5,"55,291,800",46.05,46.05,45.90,45.90,-,0.15,45.77,105,46.06,2,0.00
114,00783,富邦中証500,"1,151,190",49,"24,673,511",21.47,21.51,21.32,21.34,+,0.19,21.32,100,21.34,44,0.00
115,008201,BP上證50,300,3,"35,460",117.80,118.90,117.80,118.90,X,0.0,117.55,1,118.90,1,0.00
116,00830,國泰費城半導體,"894,028",197,"18,026,443",20.12,20.20,20.11,20.19,+,0.07,20.18,62,20.19,43,0.00
117,00850,元大臺灣ESG永續,"2,654,078","1,134","68,560,932",25.67,25.91,25.66,25.91,+,0.27,25.90,4,25.91,31,0.00
118,00851,台新全球AI,"41,000",20,"1,117,850",27.20,27.31,27.18,27.28,+,0.06,27.25,29,27.28,19,0.00
119,00852L,國泰美國道瓊正2,"3,626,000",525,"51,144,190",14.06,14.16,14.02,14.12,+,0.13,14.11,18,14.12,309,0.00
120,00861,元大全球未來通訊,"1,560,166",376,"36,438,961",23.27,23.40,23.27,23.40,+,0.13,23.39,29,23.40,133,0.00
121,00865B,國泰US短期公債,"102,180",5,"3,948,261",38.70,38.70,38.61,38.64,+,0.03,38.61,127,38.66,2,0.00
122,00866,新光Shiller CAPE,"28,000",4,"586,470",20.84,20.95,20.84,20.95,+,0.25,20.91,63,20.95,6,0.00
123,00875,國泰網路資安,"2,739,480","1,243","70,626,723",25.80,25.84,25.72,25.82,-,0.24,25.82,27,25.84,200,0.00
124,00876,元大未來關鍵科技,"3,288,024",742,"67,980,168",20.57,20.75,20.53,20.73,+,0.23,20.72,124,20.73,43,0.00
