,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
125,00878,國泰永續高股息,"7,196,666","2,656","106,715,622",14.79,14.86,14.79,14.86,+,0.1,14.85,118,14.86,279,0.00
126,01001T,土銀富邦R1,"43,000",42,"787,530",18.37,18.37,18.03,18.33,+,0.37,18.20,1,18.33,1,0.00
127,01002T,土銀國泰R1,"180,856",73,"3,308,421",18.18,18.30,18.15,18.30,+,0.18,18.26,1,18.30,33,0.00
128,01003T,兆豐新光R1,"5,886,892",69,"104,720,799",19.80,19.80,19.71,19.74,+,0.04,19.70,15,19.74,9,0.00
129,01004T,土銀富邦R2,"32,000",28,"498,000",15.50,15.60,15.50,15.60,+,0.11,15.58,3,15.60,9,0.00
130,01007T,兆豐國泰R2,"59,000",31,"1,111,280",18.70,18.90,18.70,18.90,+,0.2,18.75,6,18.90,7,0.00
131,01009T,王道圓滿R1,"99,000",20,"973,270",9.81,9.87,9.81,9.84,+,0.05,9.82,4,9.84,3,0.00
132,01010T,京城樂富R1,"17,000",7,"176,190",10.37,10.37,10.36,10.36,-,0.01,10.36,48,10.37,1,0.00
133,020000,富邦特選蘋果N,"53,000",14,"299,410",5.63,5.69,5.63,5.69,+,0.09,5.68,100,5.70,101,0.00
134,020002,元富新中國N,"165,000",13,"3,039,700",18.34,18.49,18.34,18.45,+,0.25,18.43,499,18.45,335,0.00
135,020004,兆豐電菁英30N,"4,000",2,"101,960",25.41,25.57,25.41,25.57,X,0.0,25.59,499,25.60,499,0.00
136,020006,永昌中小300N,0,0,0,--,--,--,--, ,0.0,24.09,105,24.10,100,0.00
137,020007,凱基臺灣500N,0,0,0,--,--,--,--, ,0.0,24.62,226,24.67,223,0.00
138,020008,元大特股高息N,"521,000",15,"5,631,230",10.81,10.82,10.80,10.82,+,0.05,10.81,200,10.82,201,0.00
139,020011,統一微波高息20N,"26,000",9,"126,960",4.88,4.90,4.87,4.90,+,0.04,4.89,490,4.90,496,0.00
140,020012,富邦行動通訊N,"84,000",12,"466,600",5.52,5.58,5.52,5.58,+,0.06,5.57,4,5.58,103,0.00
141,020015,統一MSCI美低波N,0,0,0,--,--,--,--, ,0.0,12.74,492,12.76,493,0.00
142,020016,統一MSCI美科技N,"2,000",2,"29,670",14.84,14.84,14.83,14.83, ,0.0,14.81,498,14.83,496,0.00
143,020018,統一價值成長30N,"357,000",26,"3,857,590",10.78,10.85,10.78,10.80,+,0.02,10.80,495,10.82,495,0.00
144,020019,統一特選台灣5GN,"878,000",128,"8,347,540",9.39,9.56,9.39,9.56,+,0.17,9.54,507,9.56,487,0.00
145,02001L,富邦蘋果正二N,"19,000",6,"135,980",7.03,7.18,7.02,7.18,X,0.0,7.15,100,7.17,100,0.00
146,02001R,富邦蘋果反一N,"41,000",6,"166,600",4.09,4.09,4.05,4.06,-,0.05,4.04,30,4.05,100,0.00
147,1101,台泥,"14,634,572","4,341","622,657,796",42.35,42.95,42.30,42.95,+,0.65,42.90,121,42.95,58,10.13
148,1101B,台泥乙特,"12,038",5,"644,552",53.50,54.00,53.50,54.00, ,0.0,53.20,4,53.80,1,0.00
149,1102,亞泥,"5,626,511","2,252","240,171,359",42.40,42.90,42.35,42.90,+,0.7,42.90,45,42.95,226,10.49
150,1103,嘉泥,"421,100",182,"6,969,905",16.60,16.60,16.50,16.60,+,0.1,16.55,21,16.60,36,21.28
151,1104,環泥,"458,211",249,"9,025,028",19.70,19.80,19.55,19.75,+,0.2,19.70,8,19.75,5,11.16
152,1108,幸福,"443,921",205,"4,997,963",11.20,11.30,11.20,11.30,+,0.15,11.25,12,11.30,42,15.69
153,1109,信大,"6,302,798","1,987","127,654,206",20.00,20.60,20.00,20.25,+,0.7,20.20,60,20.25,21,7.50
154,1110,東泥,"82,565",52,"1,349,558",16.30,16.40,16.30,16.40,+,0.1,16.30,3,16.40,1,0.00
155,1201,味全,"645,966",310,"12,982,210",20.10,20.20,20.05,20.10,+,0.05,20.10,15,20.15,75,34.66
156,1203,味王,"106,582",54,"3,387,203",31.30,32.25,31.30,31.80,+,0.5,31.80,1,31.90,1,17.38
157,1210,大成,"1,662,242",956,"72,516,711",43.10,43.85,43.00,43.80,+,0.8,43.80,30,43.85,71,13.52
158,1213,大飲,"7,002",7,"68,598",9.72,9.82,9.72,9.82, ,0.0,9.68,2,9.82,2,0.00
159,1215,卜蜂,"765,779",631,"51,094,584",66.00,67.50,66.00,67.50,+,1.5,67.40,8,67.50,38,11.80
160,1216,統一,"5,462,887","2,741","362,905,829",66.30,66.80,65.90,66.80,+,0.8,66.70,11,66.80,215,20.18
161,1217,愛之味,"2,325,769",641,"18,212,771",7.91,7.91,7.80,7.82,-,0.01,7.82,16,7.84,65,37.24
162,1218,泰山,"315,463",224,"7,071,860",22.40,22.50,22.35,22.40, ,0.0,22.40,1,22.45,8,15.66
163,1219,福壽,"170,207",115,"3,236,533",19.30,19.30,18.95,18.95, ,0.0,18.95,4,19.00,1,12.15
164,1220,台榮,"73,001",43,"836,611",11.45,11.50,11.40,11.50, ,0.0,11.45,3,11.50,29,12.64
165,1225,福懋油,"91,104",68,"2,997,022",32.80,32.95,32.80,32.90,+,0.05,32.90,2,32.95,2,21.79
166,1227,佳格,"516,973",413,"32,967,861",63.90,64.30,63.30,63.90,+,0.1,63.80,38,63.90,9,16.10
167,1229,聯華,"2,899,637","2,164","117,037,019",40.65,40.65,40.20,40.45,-,0.2,40.40,7,40.45,1,16.38
168,1231,聯華食,"143,562",134,"6,013,861",42.00,42.00,41.70,42.00,-,0.05,41.95,4,42.00,32,13.12
169,1232,大統益,"37,011",59,"4,411,820",118.50,119.50,118.50,119.50,+,1.0,119.00,9,119.50,14,19.43
170,1233,天仁,"22,600",19,"830,118",36.85,36.85,36.60,36.70,-,0.1,36.35,1,36.70,1,39.89
171,1234,黑松,"136,033",97,"4,414,769",32.35,32.50,32.35,32.50,+,0.2,32.50,10,32.55,14,16.25
172,1235,興泰,"8,170",11,"206,391",25.30,25.35,25.10,25.30,+,0.05,25.30,6,25.35,2,27.20
173,1236,宏亞,"39,757",52,"525,997",13.35,13.35,13.20,13.25,-,0.1,13.25,1,13.30,2,69.74
174,1256,鮮活果汁-KY,"147,781",169,"35,676,388",240.00,245.50,234.00,243.00,+,7.0,242.50,3,243.00,2,16.59
175,1301,台塑,"2,830,084","1,356","223,812,864",79.50,79.50,78.70,79.20,+,0.2,79.20,14,79.30,44,28.29
176,1303,南亞,"2,527,282","1,341","153,689,902",61.00,61.00,60.50,61.00,+,0.2,60.90,190,61.00,213,31.61
177,1304,台聚,"18,327,015","6,024","295,799,296",16.25,16.70,15.70,15.90,-,0.3,15.90,58,15.95,1,15.59
178,1305,華夏,"17,280,984","7,113","356,296,242",21.10,21.50,20.00,20.55,-,0.45,20.55,12,20.60,10,16.31
179,1307,三芳,"170,001",115,"3,648,471",21.50,21.70,21.30,21.30,+,0.05,21.30,2,21.35,1,33.28
180,1308,亞聚,"2,099,890",937,"39,702,548",19.15,19.15,18.80,18.85,-,0.3,18.85,126,18.90,19,12.32
181,1309,台達化,"28,930,557","11,143","839,142,483",29.50,30.40,27.80,29.30, ,0.0,29.25,73,29.30,523,17.34
182,1310,台苯,"5,961,470","2,291","99,629,544",17.10,17.15,16.50,16.65,-,0.55,16.65,7,16.70,17,118.93
183,1312,國喬,"16,658,566","4,980","323,629,378",19.80,20.10,19.10,19.15,-,0.75,19.15,206,19.20,16,11.89
184,1312A,國喬特,0,0,0,--,--,--,--, ,0.0,30.15,1,30.70,2,0.00
185,1313,聯成,"6,232,759","1,352","80,842,880",13.25,13.40,12.70,13.00,-,0.2,12.95,45,13.00,104,92.86
186,1314,中石化,"19,670,626","4,060","175,007,759",8.87,9.03,8.81,8.82,-,0.02,8.82,274,8.83,42,23.21
187,1315,達新,"192,384",119,"10,172,489",52.70,53.10,52.50,53.10,+,0.7,53.00,3,53.10,5,1.86
188,1316,上曜,"744,509",269,"8,755,054",11.70,11.95,11.50,11.80,+,0.2,11.75,21,11.80,1,0.00
189,1319,東陽,"738,070",534,"27,437,053",36.95,37.55,36.70,37.45,+,0.55,37.40,1,37.45,14,16.79
190,1321,大洋,"139,180",85,"4,967,688",35.35,35.90,35.35,35.75,+,0.3,35.70,21,35.75,6,14.71
191,1323,永裕,"163,545",121,"5,487,951",33.80,33.80,33.35,33.75,+,0.05,33.45,1,33.75,1,9.78
192,1324,地球,"15,002",8,"149,720",9.98,9.98,9.98,9.98,+,0.02,9.97,1,9.98,6,71.29
193,1325,恆大,"9,196,727","6,161","1,291,889,642",135.00,146.00,132.50,146.00,+,13.0,145.50,12,146.00,235,16.55
194,1326,台化,"8,181,731","3,592","557,441,425",68.80,68.80,67.90,68.30,-,0.5,68.30,57,68.40,51,33.48
195,1337,再生-KY,"2,189,057",587,"13,454,713",6.22,6.23,6.06,6.07,-,0.07,6.07,15,6.08,13,0.00
196,1338,廣華-KY,"574,002",364,"32,170,112",56.00,56.50,55.60,56.10,+,0.1,56.10,1,56.30,4,20.86
197,1339,昭輝,"1,408,085",712,"63,882,770",45.60,45.80,44.80,44.95,+,0.15,44.95,12,45.25,1,21.82
198,1340,勝悅-KY,"104,779",77,"1,157,336",11.10,11.10,11.00,11.00,-,0.1,10.95,12,11.00,3,0.00
199,1341,富林-KY,"5,001",5,"296,058",59.50,59.50,59.00,59.00,+,0.5,57.50,2,59.00,7,10.91
200,1402,遠東新,"5,820,265","1,801","153,630,307",26.45,26.50,26.30,26.50,+,0.05,26.45,62,26.50,79,15.96
201,1409,新纖,"4,569,253","1,355","52,581,786",11.65,11.65,11.45,11.50,-,0.1,11.50,176,11.55,184,7.62
202,1410,南染,"65,001",27,"2,217,788",34.05,34.70,33.00,34.40,-,0.45,34.20,1,34.40,1,36.60
203,1413,宏洲,"130,675",79,"1,110,742",8.41,8.60,8.41,8.45,+,0.05,8.45,8,8.50,1,0.00
204,1414,東和,"855,203",317,"7,214,408",8.45,8.57,8.37,8.38,-,0.09,8.38,5,8.39,20,34.92
205,1416,廣豐,"163,392",76,"2,327,463",14.20,14.30,14.20,14.25,+,0.1,14.20,106,14.25,32,0.00
206,1417,嘉裕,"26,915,413","7,544","332,269,119",12.85,12.95,11.65,12.30,+,0.05,12.25,10,12.30,24,8.60
207,1418,東華,"18,827",15,"151,463",8.00,8.30,7.79,8.00,+,0.19,8.00,2,8.43,1,0.00
208,1419,新紡,"49,040",42,"2,196,786",44.80,45.25,44.50,44.95,+,0.9,44.60,11,45.30,1,37.15
209,1423,利華,"57,725",41,"830,252",14.50,14.55,14.25,14.35, ,0.0,14.30,2,14.35,12,0.00
210,1434,福懋,"13,060,913","6,265","420,652,594",30.70,33.70,30.65,32.50,+,1.5,32.45,81,32.50,39,13.10
211,1435,中福,"306,627",100,"3,209,499",10.50,10.60,10.40,10.50, ,0.0,10.50,13,10.60,3,0.00
